city_name,year,log_pop_pred,pop_pred
かすみがうら市,2030,10.601122442584124,40179.91177346355
つくばみらい市,2030,10.824754353138653,50249.42349597793
つくば市,2030,12.403162530102048,243570.7004054055
ひたちなか市,2030,11.966810205951724,157441.65213138735
下妻市,2030,10.661047839237991,42661.315962388406
五霞町,2030,9.004221639543696,8137.364536383695
八千代町,2030,9.951188067471598,20977.129828582067
利根町,2030,9.65313819021727,15570.574938925101
北茨城市,2030,10.645615508730076,42008.00644454779
取手市,2030,11.56410411189324,105251.09043234005
古河市,2030,11.848821713729288,139919.38491818163
土浦市,2030,11.866192725063325,142371.159388485
坂東市,2030,10.866472390905178,52390.07221981739
城里町,2030,9.799361850259293,18022.240369384763
境町,2030,10.098792171114065,24313.624983715417
大子町,2030,9.660082553901576,15679.078983806254
大洗町,2030,9.658501330491447,15654.30644768631
守谷市,2030,11.14345819716443,69110.24050867747
小美玉市,2030,10.801756234053007,49106.96877977027
常総市,2030,11.013331190025097,60677.67943259381
常陸大宮市,2030,10.581582628991342,39402.42450258302
常陸太田市,2030,10.79297176652865,48677.47938697539
日立市,2030,12.070973258951234,174725.81607352244
東海村,2030,10.548242416277962,38110.397200117106
桜川市,2030,10.566206738055712,38801.211061740665
水戸市,2030,12.518487375309643,273344.2791140257
河内町,2030,9.011209518088931,8194.426590597499
潮来市,2030,10.229526760363148,27709.393781276
牛久市,2030,11.350600088488271,85016.45359861493
石岡市,2030,11.196237624621599,72855.81460895996
神栖市,2030,11.472474171804794,96035.5939270137
稲敷市,2030,10.574025442638662,39105.775366100184
笠間市,2030,11.203349017682497,73375.76754702473
筑西市,2030,11.5208119488494,100791.76641067151
結城市,2030,10.832956299961053,50663.261413674794
美浦村,2030,9.599581484119687,14758.603562909017
茨城町,2030,10.359878366066662,31567.34142907468
行方市,2030,10.376657713333397,32101.48960987264
那珂市,2030,10.892805358345292,53787.983078380246
鉾田市,2030,10.735876395350207,45976.07333925555
阿見町,2030,10.800318670778202,49036.42512254962
高萩市,2030,10.23191655120126,27775.692625295873
鹿嶋市,2030,11.116474027678056,67270.29441845513
龍ケ崎市,2030,11.247822274794006,76712.6785943224
かすみがうら市,2040,10.603405558458011,40271.75196885491
つくばみらい市,2040,10.8322249605409,50626.22291895597
つくば市,2040,12.411006564001152,245488.79018201446
ひたちなか市,2040,11.972239315231203,158298.74458499847
下妻市,2040,10.664319782855916,42801.12998995852
五霞町,2040,9.009635547228989,8181.538946978355
八千代町,2040,9.948866966008351,20928.496245417246
利根町,2040,9.667964195808686,15803.144146135008
北茨城市,2040,10.650513849702044,42214.280772220205
取手市,2040,11.570950715348049,105974.17542521417
古河市,2040,11.852908771492565,140492.41372981315
土浦市,2040,11.868248070330312,142664.0822027298
坂東市,2040,10.868844371223688,52514.48793749164
城里町,2040,9.795217235465618,17947.699703212395
境町,2040,10.103388713827028,24425.64084508126
大子町,2040,9.656465674132015,15622.4720721313
大洗町,2040,9.654625575475258,15593.751614597679
守谷市,2040,11.153405437338504,69801.12718054639
小美玉市,2040,10.806562096746395,49343.53813360713
常総市,2040,11.0107473745846,60521.10187844402
常陸大宮市,2040,10.585007697756755,39537.61189693129
常陸太田市,2040,10.794505467032755,48752.19334141913
日立市,2040,12.072193671880886,174939.18389054114
東海村,2040,10.553963173546666,38329.042343508765
桜川市,2040,10.558007830712969,38484.3841196421
水戸市,2040,12.528200418180479,276012.21975131234
河内町,2040,9.006745202924462,8157.925624236123
潮来市,2040,10.233303580638207,27814.245059098248
牛久市,2040,11.35485773226652,85379.19503727557
石岡市,2040,11.19343060344516,72651.59355503181
神栖市,2040,11.478492770703056,96615.33651584396
稲敷市,2040,10.575706071255789,39171.55290960391
笠間市,2040,11.20609692172541,73577.67439859643
筑西市,2040,11.521193494041425,100830.2303619425
結城市,2040,10.833311038477346,50681.236811953815
美浦村,2040,9.610175661002325,14915.789979777674
茨城町,2040,10.365118000180793,31733.176827123025
行方市,2040,10.374052623397239,32017.971176103
那珂市,2040,10.898089805426615,54072.97517819495
鉾田市,2040,10.736366821662095,45998.62674527824
阿見町,2040,10.810149519294672,49520.87215076046
高萩市,2040,10.234652828885615,27851.798709398525
鹿嶋市,2040,11.121210264967958,67589.65818968811
龍ケ崎市,2040,11.251594829405034,77002.62794467318
