year,PC1_score,PC2_score,PC3_score
1976,-4.696619224716004,-12.283348103133351,-2.9164856950274136
1977,-3.9803799967077045,-11.304373124983403,-2.368782357332548
1978,-2.894237589830665,-9.786052113822572,-1.7221731396139093
1979,-2.17585389098928,-8.639564588385847,-0.7763085887401895
1980,-1.220997786898171,-7.650344732535732,0.03985336428254456
1981,-0.5792106066053017,-6.775688241936494,0.7734008142999813
1982,0.06397797010599866,-5.89695881101777,1.2755874973008177
1983,0.5031001505140267,-5.154331677718276,1.595422633188157
1984,0.8960322761530912,-4.592052787146662,1.7661586471930786
1985,1.6395594934507411,-3.9777828766457817,1.850590901703629
1986,1.9305302829957165,-3.5246308612603165,1.883924946317255
1987,2.2123517881037698,-3.0143304456866473,1.8986968468329724
1988,2.572831975886048,-2.4159262104218753,1.8912331496908952
1990,3.154086853279577,-1.369135106008192,1.66447498714251
1991,3.8418802827042344,-0.6658543369181698,1.4723891344095335
1992,4.472618772520248,-0.12031533899847988,1.1920870949858302
1993,4.95971282010103,0.3859167529360732,0.8534125905176052
1994,5.345007416075483,0.9125711119454005,0.569961305950532
1995,5.314951903461341,1.123576333149638,0.2816106135740346
1996,5.433664256431305,1.4626368454687444,-0.028965100370096388
1997,5.5181928894125685,1.7731827597923928,-0.23202387067704144
1998,5.585882526904671,2.0948633394293097,-0.39592231051530835
1999,5.459092868906423,2.295357554007016,-0.5723456020613066
2000,4.694159179866384,2.193024265067954,-0.8075523584618175
2001,4.656191248029222,2.409526315297331,-0.9704308413186465
2002,4.408211847941066,2.5715238038235815,-1.073913409074991
2003,4.1454891755540855,2.723880803469623,-1.1039696298232897
2004,3.8796392355950835,2.8921940367096317,-1.2007097057384732
2005,3.0355586005556456,2.791866571038053,-1.2980575824643197
2006,2.4867723472709353,2.89353418205446,-1.2932165955073778
2007,1.9749091648789514,3.031332648301973,-1.2577805504571649
2008,1.4039229664514499,3.1774973140403757,-1.1030168567971625
2009,0.7500011880654202,3.330701580524543,-0.9966309782822287
2010,0.2798245735832883,3.5269191678403833,-0.6957604211893943
2011,-0.6109338133945128,3.542805312538447,-0.6105794714657153
2012,-1.36281915912079,3.5376045683110604,-0.5425411832544398
2013,-2.2360817499396233,3.539735141742484,-0.4090351482716557
2014,-3.0812033543891664,3.5328276186461878,-0.29556719102096296
2015,-3.774486272929028,3.508807696527621,-0.0749724100142034
2016,-4.541240795579699,3.503168613084744,0.07024131281432308
2017,-5.319473805029734,3.4989358907865893,0.16798312341404079
2018,-6.237128012750285,3.4431583154582683,0.2976931011785719
2020,-7.677591386801037,3.5952089289122187,0.4847632860931806
2021,-8.730012363817446,3.5081186688497055,0.5425803317543691
2022,-9.60339462546259,3.5040987410683764,0.6213385097263936
2023,-10.511739501965812,3.4590766194669262,0.7097237485455442
2024,-11.384750117870963,3.407037856330452,0.8436130565638542
