city_name,population_2000,population_2020,growth_rate_00_20
守谷市,50362.0,68421.0,0.3585838529049681
つくば市,191814.0,241656.0,0.259845475304201
つくばみらい市,40532.0,49872.0,0.2304352116845949
牛久市,73258.0,84651.0,0.1555188511834884
東海村,34333.0,37891.0,0.10363207409780673
神栖市,87626.0,95454.0,0.08933421587200141
鹿嶋市,62287.0,66950.0,0.07486313355916963
水戸市,261562.0,270685.0,0.03487891972075463
阿見町,46922.0,48553.0,0.03475981415966922
ひたちなか市,151673.0,156581.0,0.032359088301807226
龍ケ崎市,76923.0,76420.0,-0.00653900653900652
土浦市,144106.0,142074.0,-0.014100731406048284
那珂市,55069.0,53502.0,-0.028455210735622627
結城市,52774.0,50645.0,-0.04034183499450483
古河市,146452.0,139344.0,-0.04853467347663398
常総市,66245.0,60834.0,-0.08168163634991321
小美玉市,53406.0,48870.0,-0.08493427704752277
下妻市,46544.0,42521.0,-0.0864343416981781
鉾田市,50915.0,45953.0,-0.09745654522242952
取手市,115993.0,104524.0,-0.09887665634995213
坂東市,58673.0,52265.0,-0.10921548241951151
境町,27171.0,24201.0,-0.10930771778734683
茨城町,35296.0,31401.0,-0.11035244786944698
笠間市,82358.0,73173.0,-0.11152529201777606
かすみがうら市,45229.0,40087.0,-0.11368812045369125
石岡市,83119.0,73061.0,-0.12100723059709573
筑西市,116120.0,100753.0,-0.13233723734068203
潮来市,31944.0,27604.0,-0.13586275982970197
八千代町,24352.0,21026.0,-0.13658015768725362
日立市,206589.0,174508.0,-0.15528900377077193
北茨城市,51593.0,41801.0,-0.1897931889985075
利根町,19033.0,15340.0,-0.1940314191141701
常陸大宮市,48964.0,39267.0,-0.19804346050159305
美浦村,18219.0,14602.0,-0.19852900817827546
高萩市,34602.0,27699.0,-0.19949713889370557
五霞町,10218.0,8093.0,-0.20796633392053243
大洗町,19957.0,15715.0,-0.21255699754472113
城里町,23007.0,18097.0,-0.21341330899291522
常陸太田市,61869.0,48602.0,-0.21443695550275588
桜川市,50334.0,39122.0,-0.22275201652958243
行方市,41465.0,32185.0,-0.22380320752441818
稲敷市,51284.0,39039.0,-0.2387684267997816
河内町,11502.0,8231.0,-0.2843853242914276
大子町,23982.0,15736.0,-0.34384121424401637
